CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha
37549,10 de Mayo,0,0,0,0,0,0,0,0,0,0,1/2025
37277,27 de Septiembre,0,0,0,0,0,0,0,0,0,0,1/2025
37207,8 de Marzo,0,0,0,0,0,0,0,0,0,0,1/2025
37020,Acrópolis,0,0,0,0,0,0,0,0,0,0,1/2025
37209,Adquirientes de Ibarrilla,0,0,0,0,0,0,0,0,0,0,1/2025
37297,Agua Azul,0,0,0,0,0,0,0,0,0,0,1/2025
37109,Alameda de La Presa,0,0,0,0,0,0,0,0,0,0,1/2025
37204,Alameda Diamante,0,0,0,0,0,0,0,0,0,0,1/2025
37204,Alamedas de Alcázar,0,0,0,0,0,0,0,0,0,0,1/2025
37547,Alamedas de Barceló,0,0,0,0,0,0,0,0,0,0,1/2025
37204,Alamedas de España,0,0,0,0,0,0,0,0,0,0,1/2025
37204,Alamedas de Villafranca Residencial,0,0,0,0,0,0,0,0,0,0,1/2025
37683,Albarradones,0,0,0,0,0,0,0,0,0,0,1/2025
37290,Albazul Residencial,0,0,0,0,0,0,0,0,0,0,1/2025
37299,Aldaba,0,0,0,0,0,0,0,0,0,0,1/2025
37233,Alfaro,0,0,0,0,0,0,0,0,0,0,1/2025
37209,Altavista,0,0,0,0,0,0,0,0,0,0,1/2025
37680,Álvaro Obregón (Santa Ana del Conde),0,0,0,0,0,0,0,0,0,0,1/2025
37235,Amberes Residencial,0,0,0,0,0,0,0,0,0,0,1/2025
37660,Ampliación Latinoamericana,0,0,0,0,0,0,0,0,0,0,1/2025
37235,Ampliación León I,0,0,0,0,0,0,0,0,0,0,1/2025
37689,Ampliación Providencia,0,0,0,0,2,0,0,0,0,0,1/2025
37295,Ampliación San Francisco,0,0,0,0,0,0,0,0,0,0,1/2025
37020,Andrade,0,0,0,0,0,0,0,0,0,0,1/2025
37238,Ángeles y Medina,0,2,0,0,2,0,0,0,0,0,1/2025
37207,Antenas de Arriba,0,0,0,0,0,0,0,0,0,0,1/2025
37289,Anturios,0,0,0,0,0,0,0,0,0,0,1/2025
37210,Arancia,0,0,0,0,0,0,0,0,0,0,1/2025
37360,Arbide,2,0,0,0,2,0,0,0,0,0,1/2025
37548,Arboleda del Refugio,0,0,0,0,0,0,0,0,0,0,1/2025
37549,Arboleda San Hilarión,0,0,0,0,0,0,0,0,0,0,1/2025
37545,Arboleda San José,0,0,0,0,0,0,0,0,0,0,1/2025
37200,Arboledas de Ibarrilla,0,0,0,0,0,0,0,0,0,0,1/2025
37207,Arboledas de La Luz,0,0,0,0,0,0,0,0,0,0,1/2025
37207,Arboledas de la Selva,0,0,0,0,0,0,0,0,0,0,1/2025
37109,Arboledas de Los Castillos I,0,0,0,0,0,0,0,0,0,0,1/2025
37209,Arboledas de los Castillos II,0,0,0,0,0,0,0,0,0,0,1/2025
37685,Arboledas de los López Primera Sección,0,0,0,0,0,0,0,0,0,0,1/2025
37280,Arboledas de San Pedro,0,0,0,0,0,0,0,0,0,0,1/2025
37205,Arboledas de Señora,0,2,0,0,4,0,0,0,0,0,1/2025
37544,Arboledas del Campo,0,0,0,0,0,0,0,0,0,0,1/2025
37200,Arboledas del Valle,0,0,0,0,0,0,0,0,0,0,1/2025
37468,Arcoiris,0,0,0,0,0,0,0,0,0,0,1/2025
37170,Arcos Antiqua,0,0,0,0,0,0,0,0,0,0,1/2025
37669,Arras Residencial,0,0,0,0,0,0,0,0,0,0,1/2025
37438,Arroyo Hondo,0,2,0,0,0,0,0,0,0,0,1/2025
37433,Artículo 4o. Constitucional,0,0,0,0,0,0,0,0,0,0,1/2025
37207,Azahares,0,0,0,0,0,0,0,0,0,0,1/2025
37520,Aztecas,0,0,0,0,0,0,0,0,0,0,1/2025
37545,Azul Maguey,0,0,0,0,0,0,0,0,0,0,1/2025
