CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha,Periodo
37549,10 de Mayo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37277,27 de Septiembre,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37207,8 de Marzo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37020,Acrópolis,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37209,Adquirientes de Ibarrilla,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37297,Agua Azul,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37109,Alameda de La Presa,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37204,Alameda Diamante,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37204,Alamedas de Alcázar,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37547,Alamedas de Barceló,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37204,Alamedas de España,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37204,Alamedas de Villafranca Residencial,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37683,Albarradones,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37290,Albazul Residencial,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37299,Aldaba,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37233,Alfaro,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37209,Altavista,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37680,Álvaro Obregón (Santa Ana del Conde),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37235,Amberes Residencial,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37660,Ampliación Latinoamericana,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37235,Ampliación León I,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37689,Ampliación Providencia,0,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37295,Ampliación San Francisco,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37020,Andrade,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37238,Ángeles y Medina,0,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37207,Antenas de Arriba,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37289,Anturios,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37210,Arancia,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37360,Arbide,2,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37548,Arboleda del Refugio,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37549,Arboleda San Hilarión,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37545,Arboleda San José,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37200,Arboledas de Ibarrilla,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37207,Arboledas de La Luz,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37207,Arboledas de la Selva,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37109,Arboledas de Los Castillos I,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37209,Arboledas de los Castillos II,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37685,Arboledas de los López Primera Sección,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
